,province,city,county,communitys,level
0,天津市,天津市,河北区,月牙河街大江路菜老乐蔬菜店（含蓟县鸡蛋店）,high
1,天津市,天津市,河北区,月牙河街满江里,high
2,天津市,天津市,东丽区,金钟街赵沽里新苑小区,high
3,天津市,天津市,东丽区,金钟街春江里小区,high
4,天津市,天津市,西青区,杨柳青镇锦绣欣居,high
5,天津市,天津市,北辰区,天穆镇辰美雅苑3号楼,high
6,天津市,天津市,静海区,朝阳街道瑞和道与月纬路交口清水湾洗浴,high
7,河北省,唐山市,高新技术开发区,盛华世家仓储购物市场,high
8,河北省,廊坊市,安次区,葛渔城镇全域,high
9,河北省,廊坊市,霸州市,胜芳镇欧韵城小区,high
10,辽宁省,沈阳市,辽中区,茨榆坨街道,high
11,辽宁省,营口市,鲅鱼圈区,北大荒物流股份有限公司,high
12,吉林省,长春市,宽城区,团山街道小南街社区,high
13,吉林省,长春市,绿园区,青年路街道宇航社区,high
14,吉林省,长春市,九台区,九郊街道新州社区,high
15,吉林省,吉林市,昌邑区,桦皮厂镇桦皮厂社区,high
16,吉林省,吉林市,昌邑区,延江街道江山帝景小区,high
17,吉林省,吉林市,经开区,九站街道农校社区八委十组（九龙路以南、经开大街以东、翰林路以南）,high
18,黑龙江省,哈尔滨市,五常市,八家子乡全域,high
19,黑龙江省,哈尔滨市,五常市,拉林镇全域,high
20,黑龙江省,佳木斯市,汤原县,东湖城小区,high
21,黑龙江省,佳木斯市,汤原县,阳光河畔小区,high
22,福建省,泉州市,鲤城区,临江街道伍堡社区伍堡旧街北至四堡街、南至义全街、西至伍堡新街、东至中山南路区域,high
23,福建省,泉州市,丰泽区,滨海酒店,high
24,福建省,泉州市,丰泽区,丰泽街道东美社区北至妙云街、西至刺桐南路、南至泉秀街、东至坪山路和东霞街（河岸）区域,high
25,福建省,泉州市,丰泽区,丰泽街道霞淮社区,high
26,福建省,泉州市,丰泽区,城东街道前头社区,high
27,福建省,泉州市,丰泽区,城东街道浔美社区,high
28,福建省,泉州市,丰泽区,城东街道埭头社区,high
29,福建省,泉州市,丰泽区,东海街道云谷社区,high
30,福建省,泉州市,丰泽区,东海街道云山社区,high
31,福建省,泉州市,丰泽区,东海街道法石社区,high
32,福建省,泉州市,丰泽区,城东街道东星社区,high
33,福建省,泉州市,丰泽区,泉秀街道灯星社区,high
34,福建省,泉州市,丰泽区,泉秀街道成洲社区,high
35,福建省,泉州市,丰泽区,泉秀街道沉洲社区,high
36,福建省,泉州市,丰泽区,东海街道滨城社区,high
37,福建省,泉州市,洛江区,万安街道吉源小区20号楼,high
38,福建省,泉州市,石狮市,万国会（名爵酒店）,high
39,福建省,泉州市,晋江市,陈埭镇、池店镇的部分区域（陈埭江滨南路、鞋都路、九十九溪围合的三角区域）,high
40,福建省,泉州市,晋江市,陈埭镇庵上村,high
41,福建省,泉州市,晋江市,池店镇东山村,high
42,福建省,泉州市,晋江市,陈埭镇海尾村,high
43,山东省,威海市,威海火炬高技术产业开发区,古寨东路145号渊源澡塘,high
44,山东省,滨州市,惠民县,环城南路108号,high
45,山东省,滨州市,阳信县,翟王镇,high
46,山东省,滨州市,博兴县,曹王镇杭屯村,high
47,山东省,滨州市,邹平市,韩店镇西王新村,high
48,山东省,滨州市,邹平市,黄山街道办事处张山村,high
49,甘肃省,兰州市,七里河区,秀川街道崔家崖大户村,high
50,北京市,朝阳区,六里屯街道,八里庄北里东社区,middle
51,天津市,天津市,河北区,月牙河街锦江南里27门,middle
52,天津市,天津市,河北区,光复道街万爱情侣主题酒店（建国道1号龙门大厦）,middle
53,天津市,天津市,西青区,西营门街赵苑西里8号楼,middle
54,天津市,天津市,静海区,朝阳街道宇纬路春曦公园,middle
55,河北省,唐山市,路北区,君瑞联合农贸市场,middle
56,河北省,邯郸市,鸡泽县,浮图店镇,middle
57,河北省,廊坊市,安次区,东沽港镇淘河村,middle
58,河北省,廊坊市,安次区,东沽港镇桃园村,middle
59,河北省,廊坊市,霸州市,杨芬港镇褚西村,middle
60,内蒙古自治区,赤峰市,巴林左旗,林东西城街道赛汗小区,middle
61,辽宁省,沈阳市,大东区,惠民家园,middle
62,辽宁省,沈阳市,大东区,中体奥林匹克花园新城,middle
63,辽宁省,沈阳市,大东区,钢花小区,middle
64,辽宁省,大连市,金普新区,七顶山街道陆海村陆海小区7号,middle
65,辽宁省,大连市,金普新区,马桥子街道凯悦公寓B座,middle
66,辽宁省,大连市,普兰店区,丰荣街道久寿社区中心路一段49号,middle
67,辽宁省,大连市,普兰店区,太平街道如意人家钰莲园小区10号楼,middle
68,辽宁省,营口市,鲅鱼圈区,群星国际新城,middle
69,辽宁省,营口市,鲅鱼圈区,金座A区,middle
70,辽宁省,营口市,鲅鱼圈区,金禾一品财富广场,middle
71,辽宁省,营口市,鲅鱼圈区,恒祥湾·富贵园,middle
72,辽宁省,营口市,鲅鱼圈区,新港小区,middle
73,吉林省,长春市,南关区,明珠街道卫星商城,middle
74,吉林省,长春市,南关区,明珠街道中铁十三局宿舍,middle
75,吉林省,长春市,南关区,鸿城街道卫星花园,middle
76,吉林省,长春市,南关区,明珠街道长春大学,middle
77,吉林省,长春市,南关区,南岭街道御翠豪庭,middle
78,吉林省,长春市,南关区,富裕街道金色世界湾,middle
79,吉林省,长春市,南关区,明珠街道长春大学公寓,middle
80,吉林省,长春市,南关区,幸福乡国信一期,middle
81,吉林省,长春市,南关区,明珠街道新城小区,middle
82,吉林省,长春市,南关区,明珠街道力旺美林,middle
83,吉林省,长春市,南关区,明珠街道万科金域长春,middle
84,吉林省,长春市,南关区,明珠街道幸福乡政府宿舍楼,middle
85,吉林省,长春市,南关区,鸿城街道农研家属楼,middle
86,吉林省,长春市,宽城区,凯旋街道友谊花园小区,middle
87,吉林省,长春市,朝阳区,湖西街道领秀朝阳上院,middle
88,吉林省,长春市,朝阳区,重庆街道安华公寓西安大路336号,middle
89,吉林省,长春市,朝阳区,南湖街道长春大学卫星路以南八公寓,middle
90,吉林省,长春市,朝阳区,湖西街道开运街1629号楼,middle
91,吉林省,长春市,朝阳区,湖西街道新星宇福苑二期,middle
92,吉林省,长春市,二道区,八里堡街道力旺康城,middle
93,吉林省,长春市,二道区,远达街道昊泽家园,middle
94,吉林省,长春市,二道区,吉林街道高格蓝湾,middle
95,吉林省,长春市,二道区,吉林街道吉盛高层小区,middle
96,吉林省,长春市,二道区,东盛街道上东城市之光,middle
97,吉林省,长春市,二道区,长青街道十方界,middle
98,吉林省,长春市,绿园区,同心街道,middle
99,吉林省,长春市,绿园区,普阳街道辽阳街（101栋、143栋、201栋）,middle
100,吉林省,长春市,绿园区,普阳街道吉业花园,middle
101,吉林省,长春市,绿园区,铁西街道彩云阁小区,middle
102,吉林省,长春市,绿园区,正阳街道娜奇美4区,middle
103,吉林省,长春市,绿园区,林园街道3535小区,middle
104,吉林省,长春市,绿园区,林园街道大禹华邦B区,middle
105,吉林省,长春市,绿园区,青年街道133厂小区,middle
106,吉林省,长春市,双阳区,云山街道林溪美郡,middle
107,吉林省,长春市,双阳区,太平镇桦木村,middle
108,吉林省,长春市,九台区,胡家回族乡周家村6社,middle
109,吉林省,长春市,九台区,主城区,middle
110,吉林省,长春市,九台区,苇子沟街道西山村,middle
111,吉林省,长春市,九台区,苇子沟街道小苇村,middle
112,吉林省,长春市,九台区,苇子沟街道官地村,middle
113,吉林省,长春市,九台区,苇子沟街道拉拉村,middle
114,吉林省,长春市,九台区,苇子沟街道大苇村,middle
115,吉林省,长春市,九台区,其塔木镇北山村,middle
116,吉林省,长春市,九台区,上河湾镇万福花园,middle
117,吉林省,长春市,九台区,上河湾镇友谊小区老楼,middle
118,吉林省,长春市,九台区,上河湾镇双顶村,middle
119,吉林省,长春市,九台区,上河湾镇吴文祥小区,middle
120,吉林省,长春市,九台区,上河湾镇幸福家园,middle
121,吉林省,长春市,九台区,沐石河街道孤家子村,middle
122,吉林省,长春市,九台区,沐石河街道八家子村,middle
123,吉林省,长春市,九台区,沐石河街道河南村,middle
124,吉林省,长春市,九台区,沐石河街道横道村,middle
125,吉林省,长春市,九台区,沐石河街道卢家村,middle
126,吉林省,长春市,九台区,沐石河街道沐石河村,middle
127,吉林省,长春市,九台区,沐石河街道太和村,middle
128,吉林省,长春市,九台区,沐石河街道杨树村,middle
129,吉林省,长春市,九台区,沐石河街道张家村,middle
130,吉林省,长春市,九台区,沐石河街道于家村,middle
